speaker,line,season,episode,scene_count,line_count
baljeet,i would not mind talking about my feelings.,season_2,19,2,7
buford,how do you feel now?,season_2,19,2,8
baljeet,in pain.,season_2,19,2,9
buford,there we're done. i guess that was fun.,season_2,19,2,10
off-screen voice,how about a game of hide and seek?,season_2,19,2,11
phineas,who said that?,season_2,19,2,12
boy,i did!,season_2,19,3,14
phineas,who are you?,season_2,19,3,15
boy,allow me to introduce myself. ,season_2,19,3,16
phineas,how long have you been sitting there?,season_2,19,3,17
irving,a couple hours. my horoscope says i'm a background type. and this is when you had that soup .,season_2,19,3,18
baljeet,oh what a nerd.,season_2,19,3,19
phineas,is that a lock of ferb's hair?,season_2,19,3,20
irving,don't touch it.,season_2,19,3,21
phineas,irving suggested hide and seek.,season_2,19,3,22
buford,isn't the house a little too small to play a good game of hide and seek?,season_2,19,3,23
ferb,perhaps the problem is not that the house is too small but that we are too big.,season_2,19,3,24
phineas,he's right! you kids hang tight while ferb and i use the technology from our submarine adventure to make a new shrinking machine. ferb i know what we're going to do today!,season_2,19,3,25
irving,you said the words. hey can i say the perry thing?,season_2,19,4,27
phineas,wha?,season_2,19,4,28
irving,you know when you say where's perry?,season_2,19,4,29
phineas,o...kay.,season_2,19,4,30
irving,where's perry? ah oh wait wait i can do better. where's perry? where is perry? wherefore art thou perry? i wonder where that perry went.,season_2,19,4,31
irving,oh where is that platypus? where the p-man at?,season_2,19,5,33
major monogram,good morning agent p. we've received some disturbing calls from doofenshmirtz.,season_2,19,7,36
doofenshmirtz,hello? monogram...are you home? if you're home please pick it up. pick it up. hello? oh i hate these machines. okay listen. i'm being evil and i need perry the platypus to come over and stop me. wait-- wait did i hear a beep? did the machine just cut me off? oh-ah-oh i don't know what to do. you know what i'm just going to call back.,season_2,19,8,38
major monogram,i want you to find out what he's up to and--,season_2,19,8,39
doofenshmirtz,hello? i-- i think your machine cut me off before what i was saying---,season_2,19,9,41
major monogram,find out what doofenshmirtz is up to and put a stop to it.,season_2,19,9,42
phineas,here it is a shrinking machine. now everybody touch the top of the machine.,season_2,19,12,46
isabella,wow! we're really tiny! phineas your coffee table is huge!,season_2,19,13,48
buford,look at this pencil.,season_2,19,13,49
baljeet,somebody take a picture of me next to this dust bunny!,season_2,19,13,50
baljeet,phineas this is amazing! everybody should shrink.,season_2,19,14,52
isabella,get teeny.,season_2,19,14,53
irving,get tiny.,season_2,19,14,54
phineas,be small!,season_2,19,14,55
phineas,safe!,season_2,19,15,59
doofenshmirtz,oh perry the platypus you caught me. i've been putting recyclable trash in the regular trash bin; i am so bad! you've taught me a valuable lesson. from now on i'll be green. i'll be all the shades of green. they will call me el verde and tell my tale in greenland. goodbye now drive safe and thanks for busting down my door. i deserved it!,season_2,19,17,74
phineas,alright gang we can start that game of hide and seek now.,season_2,19,18,76
isabella,what's that?,season_2,19,19,78
baljeet,earthquake!,season_2,19,19,79
phineas,no it's candace. hey candace is it! everybody hide!,season_2,19,19,80
candace,stace i'll call you back. this thing was obviously made by phineas and ferb so it must do something.,season_2,19,19,81
isabella,phineas look on the umbrella stand!,season_2,19,19,82
phineas,it's baljeet!,season_2,19,19,83
baljeet,oh no she found me. i guess i'm it! ,season_2,19,19,84
phineas and isabella,baljeet?,season_2,19,19,85
baljeet,i'm okay!,season_2,19,19,86
phineas,we gotta get that shrinker back!,season_2,19,20,88
irving,you guys always have a plan.,season_2,19,20,89
phineas,we don't have a plan.,season_2,19,20,90
irving,what?,season_2,19,20,91
phineas,we'll just have to wing it.,season_2,19,20,92
irving,there's no winging there's no winging in the book. you guys have just been improvising this whole time? oh how heroes fall!,season_2,19,20,93
baljeet,hey guys! remember me? up here with the dead flies?,season_2,19,20,94
phineas,sit tight baljeet! we'll have you down as soon as we can.,season_2,19,20,95
baljeet,how can i sit tight? with that air conditioner up there freezing me! so cold. so cold.,season_2,19,20,96
doofenshmirtz,activate bug eye-bot. ,season_2,19,21,98
candace,where's the reverse button?,season_2,19,22,100
vivian,hello? hello? i could have sworn i heard someone kno-- oy. that's not a good place to put a toy.,season_2,19,23,102
candace,mrs. garcia-shapiro! it's me candace! helloooo!? ,season_2,19,24,104
isabella,phineas we've got to get to that machine across the street.,season_2,19,25,106
irving,what's the point? we're vacuum bag filler.,season_2,19,25,107
buford,thanks for that captain bring-down.,season_2,19,25,108
doofenshmirtz,what? some kiddie tv show? agh the signal must have gotten switched. hm. i hope it doesn't go rogue.,season_2,19,27,111
phineas,what is that thing? did we ever make mechanical bugs?,season_2,19,29,114
irving,there's nothing in the book.,season_2,19,29,115
phineas,okay everyone split off now!,season_2,19,29,116
phineas,thread 'em and throw 'em guys!,season_2,19,31,119
buford,come on fanboy you want to live forever?,season_2,19,31,120
irving,is that an option?,season_2,19,31,121
irving,i'm okay.,season_2,19,32,123
phineas,great job isabella.,season_2,19,32,124
isabella,thank you very much.,season_2,19,32,125
buford,,season_2,19,32,126
phineas,i couldn't have said it any better myself.,season_2,19,32,127
isabella,that was awesome phineas.,season_2,19,34,130
irving,yeah but guys? we're still small. what now?,season_2,19,34,131
phineas,ferb you're a genius! everyone on?,season_2,19,35,133
irving,hey i don't have to digitally insert myself.,season_2,19,35,134
buford,go tell it to your blog.,season_2,19,35,135
isabella,let's get baljeet.,season_2,19,35,136
isabella and phineas,baljeet?,season_2,19,35,137
isabella,where is he?,season_2,19,35,138
phineas,i don't see him.,season_2,19,35,139
buford,look over there something's moving!,season_2,19,35,140
everyone but ferb,ewww!baljeet: i did what i had to do to survive!,season_2,19,36,142
isabella,pinky no! down! bad dog. where are your manners?,season_2,19,38,145
phineas,how are you doing there short stuff?,season_2,19,39,147
candace,phineas thank goodness!,season_2,19,39,148
candace,who smells like fly guts?,season_2,19,40,150
baljeet,i had to survive okay?,season_2,19,40,151
phineas,come on! hands on!,season_2,19,41,153
isabella,all right phineas!,season_2,19,42,155
irving,cool!,season_2,19,42,156
baljeet,yay phineas!,season_2,19,42,157
irving,you did it ferb!,season_2,19,42,158
vivian,isa is that you?,season_2,19,43,160
isabella,yeah mom!,season_2,19,43,161
candace,you guys are so busted! wait 'til mom sees this! moooom?!,season_2,19,44,163
irving,she's gonna go get your mom!,season_2,19,44,164
phineas,...what?,season_2,19,44,165
doofenshmirtz,ohh. work! work!,season_2,19,45,167
doofenshmirtz,come on. ooh hey random pounding works. oh good we're back on the perry show.,season_2,19,46,170
doofenshmirtz,ahhh! all right perry the platypus could you just do me a favor and hold this up to the street address in front of-,season_2,19,47,172
candace,mom mom mom mom! you gotta see something in the kitchen! come on come on come on come on!,season_2,19,49,175
linda,okay candace.,season_2,19,49,176
doofenshmirtz,you think you're so clever perry the platypus. but for the first time in my life i can actually use a self-destruct button that i have installed! prepare to be vaporized perry the platypus!,season_2,19,49,177
candace,see mom?! see see?! and and...,season_2,19,51,180
linda,oh teenagers.,season_2,19,51,181
vivian,hormones all it is.,season_2,19,51,182
doofenshmirtz,well that's done. and no comeuppance.,season_2,19,51,183
phineas,now this is a ship. my she's yar. is she ready to sail?,season_2,20,1,1
ferb,she's shipshape in bristol fashion.,season_2,20,1,2
phineas,what does that mean?,season_2,20,1,3
ferb,what does yar mean?,season_2,20,1,4
baljeet,phineas! ferb! i need your help!,season_2,20,1,5
phineas,hey baljeet. i thought your friend mishti was visiting from india.,season_2,20,1,6
baljeet,she is. but- she is different now.,season_2,20,1,7
phineas,different how? did she turn into a werewolf or something?,season_2,20,1,8
baljeet,no she is- a girl!,season_2,20,1,9
phineas,she was probably a girl the whole time.,season_2,20,1,10
baljeet,let me explain. four years ago back in india we used to have such a good time together.,season_2,20,1,11
young mishti,give it to me!,season_2,20,2,13
young baljeet,no no no! me! give it to me!,season_2,20,2,14
young mishti,no me me! i'm open!,season_2,20,2,15
phineas,and she never ever showed any kind of sign of werewolfism at all?,season_2,20,3,17
baljeet,if we could just stick to the topic please. five minutes and forty-eight seconds ago back in my home...,season_2,20,3,18
baljeet's mother,baljeet! the patels are here!,season_2,20,4,20
baljeet,coming! misht-aah...!,season_2,20,4,21
mishti,hi baljeet!,season_2,20,5,23
baljeet,so after hiding in the bathroom i jumped out the window and came over here as quickly as possible. i do not even know how to act in front of a girl! i do not even know what girls like.,season_2,20,6,25
phineas,hm. isn't it like sugar and spice and everything nice?,season_2,20,6,26
baljeet,that is what they are made of. i do not want to build one. duh!,season_2,20,6,27
phineas,y'know i think what girls really like is romance.,season_2,20,6,28
baljeet,romance?,season_2,20,6,29
phineas,yeah we learned all about it in this movie we watched last night. dinner music candlelight and all on a romantic cruise over the ocean blue. lucky for you we happen to have a ship right here. ferb cancel the giant bottle. i know what we're going to do today. hey where's perry?,season_2,20,6,30
carl,uh you're gonna have to pick it up a little sir. they're starting to boo.,season_2,20,8,33
major monogram,i've gotta hear carl. oh he's here!,season_2,20,8,34
carl,well not really sick sir i am a little concerned.,season_2,20,8,36
major monogram,what did i say about contradicting me in front of the agents?,season_2,20,8,37
carl,sorry sir.,season_2,20,8,38
major monogram,so that's pretty much it. you can go agent p.,season_2,20,9,40
major monogram,that's it. okay carl. ,season_2,20,10,42
baljeet's mother,baljeet? aren't you in the bathroom?,season_2,20,12,45
baljeet,i climbed out the window.,season_2,20,12,46
baljeet's mother,oh i thought it was a...,season_2,20,12,47
baljeet,mother please! may i just speak to mishti?,season_2,20,12,48
mishti,hey baljeet. what's up?,season_2,20,13,50
baljeet,um... if you do not already have plans for this upcoming afternoon...,season_2,20,13,51
mishti,actually i had plans with you.,season_2,20,13,52
baljeet,oh okay! well if you are busy...,season_2,20,13,53
mishti,oh no baljeet! what did you have in mind?,season_2,20,13,54
baljeet,well some friends of mine have planned... an all-inclusive luxury cruise around danville harbor.,season_2,20,13,55
mishti,a boat ride? cool! i will go get my stuff.,season_2,20,13,56
baljeet,highlights of the evening will include a romantic candlelit dinner with-... oh she is gone.,season_2,20,13,57
candace,i just wish jeremy was more romantic. you know like romeo-and-juliet romantic but without all the dying.,season_2,20,14,59
phineas,ahoy candace!,season_2,20,15,61
candace,yeah stacy i'm gonna have to call you back. hey mom.,season_2,20,15,62
linda,candace make it quick. i'm in the middle of something.,season_2,20,15,63
candace,phineas and ferb are leaving on a cruise ship- but i don't even know where they're going!,season_2,20,15,64
linda,i can hardly hear you. what's this about a ship? are you at the harbor?,season_2,20,15,65
candace,no i'm at home! wait the harbor! that's where they're going! i'll bust them there.,season_2,20,15,66
lawrence,was that candace on the phone?,season_2,20,15,67
linda,yeah. she probably doesn't know we're in the living room.,season_2,20,15,68
lawrence,so what do you think? ,season_2,20,15,69
linda,you know you're right. it does kind of sound like the ocean.,season_2,20,15,70
doofenshmirtz,ah perry the platypus. you like my scale model? ah yes my home. i can still remember the day i bought it. flashback!,season_2,20,17,74
baljeet,for your safety mishti i invite you to hold on to the rail. it appears to be very clean which i know is important to you now that you are a girl.,season_2,20,21,81
mishti,huh?,season_2,20,21,82
phineas,hey isabella. what'cha doooin'?,season_2,20,21,83
isabella,the fireside girls and i just got our shrimp net repair patches. what are you doing?,season_2,20,22,85
phineas,a romantic cruise. you wanna come?,season_2,20,22,86
isabella,you want me to come on a romantic cruise with you?!,season_2,20,22,87
phineas,yeah it'll be fun.,season_2,20,22,88
isabella,um...okay.,season_2,20,22,89
candace,i knew it! time to call mom. ,season_2,20,25,104
linda,candace? i can't understand a word you're saying.,season_2,20,25,105
linda,candace if you're feeding the geese again i hope you're not wearing a tube top. do you mind?,season_2,20,26,107
lawrence,now it sounds like a spaceship.,season_2,20,27,109
linda,okay let me try.,season_2,20,27,110
candace,well they've gotta come back sometime and when they do i'll be standing right here ready to bust them. would you get off of me?,season_2,20,28,112
isabella,wow phineas! this is so romantic!,season_2,20,30,115
phineas,,season_2,20,30,116
isabella,yes!,season_2,20,30,117
phineas,behold: a romantic candlelit dinner for two.,season_2,20,31,119
isabella,oh phineas!,season_2,20,31,120
phineas,ferb show the happy couple to their table.,season_2,20,31,121
baljeet,here is our table mishti. is this okay with you? it is not too drafty is it?,season_2,20,32,123
mishti,it will be fine baljeet.,season_2,20,32,124
phineas,cue music! classical music. very romantic.,season_2,20,32,125
phineas,cue rose petals!,season_2,20,33,127
phineas,cue...'pid!,season_2,20,34,129
buford,hey everyone. i'm wearing a diaper.,season_2,20,35,131
phineas,so...do i know romance or what?,season_2,20,35,132
isabella,what.,season_2,20,35,133
phineas,i said do i know romance or --,season_2,20,35,134
isabella,i heard you.,season_2,20,35,135
baljeet,this food is really good do you not think so?,season_2,20,36,137
mishti,uh yes...i guess so.,season_2,20,36,138
baljeet,subtle yet pungent.,season_2,20,36,139
mishti,yes very.,season_2,20,36,140
buford,hey can you pass me one of those bad boys?,season_2,20,36,141
mishti,uh...look baljeet i appreciate all this but uh...i just want to hang out like we used to.,season_2,20,36,142
baljeet,but uh are you sure you do not want to hear more music?,season_2,20,36,143
buford,did somebody say music? ,season_2,20,36,144
doofenshmirtz,i've attached rockets to the lighthouse so when i push this button it will fly to the other side of town the ships will follow and then i can finally get some sleep!,season_2,20,38,147
doofenshmirtz,perry the platypus? how did you escape?,season_2,20,40,151
doofenshmirtz,aw man i worked all weekend on that!,season_2,20,41,153
doofenshmirtz,oh look this staple makes a perfect little chimney. i hope perry the platypus appreciates all this hard work.,season_2,20,42,155
vanessa,he won't.,season_2,20,42,156
doofenshmirtz,i know!,season_2,20,42,157
doofenshmirtz,you know what perry the platypus? i think it's time for you to go.,season_2,20,43,159
doofenshmirtz,that's right go on! your services are no longer required. the lighthouse is gone and there's nothing you can do about it. so you might as well run back to major monogram and tell him you lost this one.,season_2,20,44,161
baljeet,did i... mention how nice the weather is?,season_2,20,47,166
mishti,several times.,season_2,20,47,167
baljeet,well... it is nice.,season_2,20,47,168
phineas,i don't get it. we've tried everything in that romantic movie but nothing seems to work. the orchestra the petals the love song. the only other thing they did in that movie is sink the ship.,season_2,20,48,170
phineas,that ought to do it.,season_2,20,49,172
baljeet,i must apologize the ship sinking was not in the brochure.,season_2,20,50,174
phineas,wow. is this romance or what?,season_2,20,50,175
isabella,phineas where are the life preservers?,season_2,20,50,176
phineas,we don't have any!,season_2,20,50,177
isabella,what?!,season_2,20,50,178
phineas,we've got fun preservers! hit it ferb.,season_2,20,50,179
buford,well that's the end of this diaper.,season_2,20,51,181
phineas,okay everybody to the fun preservers!,season_2,20,52,183
buford,oh oh! cupids first!,season_2,20,53,185
baljeet,so you are telling me that even though you are now a girl you still like to have fun just like in the old days?,season_2,20,55,192
mishti,of course baljeet.,season_2,20,55,193
baljeet,then you would not mind if i went like...this? ,season_2,20,55,194
mishti,not if you do not mind if i go like...this! ,season_2,20,55,195
phineas,hey this romance stuff was fun. we should do it more often.,season_2,20,57,198
isabella,yes. yes we should.,season_2,20,57,199
phineas,hey there you are perry.,season_2,20,58,201
candace,all right you guys better tell me what you were up to on that cruise ship.,season_2,20,59,203
phineas,just whipping up a little romance for baljeet and his friend mishti.,season_2,20,59,204
candace,you created romance?,season_2,20,59,205
phineas,yeah.,season_2,20,59,206
candace,and...did it work?,season_2,20,59,207
phineas,looks like it. they seem to be having a great time.,season_2,20,59,208
candace,do you think you could do that for me and jeremy?,season_2,20,60,210
phineas,i don't see why not.,season_2,20,60,211
jeremy,candace i love having some kid's feet in my face as much as the next guy. but how about we just go grab a slushy burger?,season_2,20,61,213
phineas,okay what the heck is that sound? come on ferb i know what we're not gonna do today. we're not gonna figure out what we are gonna do today as long as that noise keeps up! ,season_2,21,1,1
candace,if you don't stop that racket i am so gonna bust you... empty... backyard?,season_2,21,1,2
stacy,candace stop trying to bust your backyard.,season_2,21,2,4
candace,hello?,season_2,21,3,6
stacy,so what's the scoop?,season_2,21,3,7
candace,jeremy just invited us to his friend's concert!,season_2,21,3,8
stacy,oh i don't know... lately i've been feeling like a third wheel around you guys.,season_2,21,3,9
stacy,oh goody. the chart.,season_2,21,3,11
candace,see jeremy only calls me candace and nothing else. when a guy makes you his girlfriend he comes up with a nickname for you. a pet name like baby honey peg-leg pete! his own personal stamp!,season_2,21,3,12
stacy,maybe you should just let whatever happens happen. you know naturally.,season_2,21,3,13
candace,where is that coming from?,season_2,21,3,14
phineas,baljeet's house? for such a mild-mannered kid we wind up here for a lot of weird reasons. so uh... what up 'jeet?,season_2,21,4,16
baljeet,oh uh... hello my friends i did not hear you come in.,season_2,21,4,17
phineas,is everything okay?,season_2,21,4,18
baljeet,if by okay you mean that my life is a meaningless black cauldron of swirling failure... then yes everything is groovy.,season_2,21,4,19
phineas,that's not at all what i meant by okay.,season_2,21,5,21
baljeet,i signed up for a class called summer rocks believing it was a geology course. it turned out to be a rock-and-roll camp and no matter how hard i study i just do not rock! i could actually get an e- an- oh i cannot even say that terrible letter. ineas! erb! what am i going to do?,season_2,21,5,22
phineas,well that was an interesting sound you were getting out of your guitar. i think you'll be just fine!,season_2,21,5,23
baljeet,that was not my guitar. that was me. i call it the fail wail. ,season_2,21,5,24
phineas,baljeet. baljeet! whoa! hey! thank you. we can show you how to rock!,season_2,21,5,25
baljeet,really?,season_2,21,5,26
phineas,absolutely. hey i think the fail wail scared perry off!,season_2,21,5,27
usher,ticket please. enjoy the show.,season_2,21,6,29
major monogram,evil... wait... you... await... evil... awaits...,season_2,21,7,31
carl,cut cut!,season_2,21,7,32
major monogram,oh come on! sorry agent p. carl's been taking some film classes and now believes i'm stifling his creativity as my cameraman.,season_2,21,7,33
carl,camera artist.,season_2,21,7,34
major monogram,seems dr. doofenshmirtz has been buying baby supplies all over town. one could only imagine what he's doing. two can discuss it between themselves; more than two is frankly a waste of our resources. good luck agent p! ,season_2,21,7,35
carl,okay once more with feeling!,season_2,21,7,36
major monogram,the agency isn't paying for these classes are they carl?,season_2,21,7,37
baljeet,i have read every book on the history of rock music.,season_2,21,8,39
phineas,gosh baljeet rock and roll isn't about books! it's about letting go and having fun! rock and roll is a way for you to tell the world how you feel!,season_2,21,8,40
baljeet,feel about what?,season_2,21,8,41
phineas,expressing yourself! i mean what do you do when you're angry?,season_2,21,8,42
baljeet,math.,season_2,21,8,43
phineas,...okay well what about when you're sad?,season_2,21,8,44
baljeet,math!,season_2,21,8,45
phineas,happy?,season_2,21,8,46
baljeet,ma-ath!,season_2,21,8,47
phineas,so every feeling you have makes you want to do math?,season_2,21,8,48
baljeet,i do not know if it is so much cause and effect. i do a lot of math! the feelings come and go.,season_2,21,8,49
stacy,what kind of concert is this?,season_2,21,9,51
candace,it's the summer rocks graduation concert. jeremy's friend coltrane is an instructor. look there they are!,season_2,21,9,52
stacy,that's coltrane. he's really cute!,season_2,21,9,53
candace,hmm i guess he is. hey wait a minute... you like coltrane!,season_2,21,9,54
stacy,well i've never actually talked to him before but...,season_2,21,9,55
candace,quick what should we do? hide? no wait pretend you're a talent scout. ooh here! i think i have a fake mustache on me!,season_2,21,9,56
stacy,let's just go over and say hi. ,season_2,21,9,57
jeremy,what do you think it means when a girl leaves a fake mustache at your house?,season_2,21,9,58
candace,hi guys!,season_2,21,9,59
jeremy,hey gals!,season_2,21,9,60
candace,ha! gals. yeah that's me the gal. gosh when did you start calling me that?,season_2,21,9,61
stacy,hi i'm stacy.,season_2,21,9,62
coltrane,hey how ya doin' stacy? i'm coltrane.,season_2,21,9,63
stacy,i like your hair.,season_2,21,9,64
coltrane,thanks. i like your bow. let me show you round.,season_2,21,9,65
stacy,cool! ,season_2,21,9,66
jeremy,heeey coltrane and stacyyyy... that was easy. what?,season_2,21,9,67
doofenshmirtz,awww congratulations it's a platypus! finally the time came for me to tell you my evil plan in pop-up book form and i- oh i- i'm sorry the- the book seems to have caught up to us in real time heh-heh. anyway behold! the bum-bum-inator!,season_2,21,10,70
phineas,rock's not about getting good grades and following the rules; it's about rebellion! it's about using music to express your true feelings and emotions! just play how you feel! baljeet that's- that's just an a chord.,season_2,21,11,72
baljeet,i feel like i want an a!,season_2,21,11,73
phineas,this is gonna be harder than we thought.,season_2,21,11,74
stacy,do you think you could teach me how to play the bass?,season_2,21,12,76
coltrane,let's see if you have big bass player hands. ,season_2,21,12,77
candace,bu-ga! bu-ga! ooka-ooka-ooka-ooka!,season_2,21,12,78
stacy,uh excuse me for a second. i have to go talk to my friend in the bushes.,season_2,21,12,79
coltrane,cool! i gotta go get this show started. save me a dance?,season_2,21,12,80
candace,ooka-ooka-ooka-ooka! eega-eega-eega!,season_2,21,12,81
stacy,what are you doin'?,season_2,21,12,82
candace,how's it going with you and coltrane?,season_2,21,12,83
stacy,i think it's going really well! he asked me to save him a dance!,season_2,21,12,84
candace,he did? what do you think he meant by that?,season_2,21,12,85
stacy,i'm pretty sure he meant he wants to dance with me.,season_2,21,12,86
candace,hmmm. men and their impossible endless riddles!,season_2,21,12,87
stacy,so how's it going with you? has jeremy nicknamed you yet?,season_2,21,12,88
candace,no...,season_2,21,12,89
stacy,maybe jeremy just isn't the kind of guy who nicknames people.,season_2,21,12,90
candace,huh. you could be right.,season_2,21,12,91
stacy,look here he comes now!,season_2,21,12,92
jeremy,hi candace where you been?,season_2,21,12,93
stacy,i'll uh... i'll see you later.,season_2,21,12,94
jeremy,catch ya later staceroo. what?,season_2,21,12,95
baljeet,ohhhh i do not know about this!,season_2,21,13,97
phineas,you'll be great! just remember what we practiced: follow the beat and let your feelings out through the music!,season_2,21,13,98
baljeet,i am about to let my feelings out through these pleather pants!,season_2,21,13,99
doofenshmirtz,okay i'm almost ready perry the platypus. ,season_2,21,14,101
coltrane,and now the band you've all been waiting for: the baljeatles!,season_2,21,15,103
phineas,hey cool beat buford.,season_2,21,15,104
buford,uh... thanks? ,season_2,21,15,105
coltrane,what's up baljeet? your band is waiting for you onstage.,season_2,21,15,106
baljeet,i can't do it! i just do not know how to rock! i know i am going to get a bad grade!,season_2,21,15,107
coltrane,wait what are you talking about grades? this is summer rocks! there are no grades.,season_2,21,15,108
baljeet,no grades? oh so it is pass/fail?,season_2,21,15,109
coltrane,no! we use a free-floating curriculum to encourage kids to just... rock out and have fun!,season_2,21,15,110
baljeet,pardon me! i want to try something!,season_2,21,15,111
baljeet,oh yeah! i have got something to say!,season_2,21,16,113
doofenshmirtz,okay now to relax and keep my heart rate slow and steady you know 'cause too much excitement would cause my heart to beat too fast and short out the bum-bum-inator.,season_2,21,17,130
nanny-inator,change time! change time! ,season_2,21,18,132
doofenshmirtz,perry the platypus stop chasing me; i'm supposed to keep my heart rate down!,season_2,21,18,133
baljeet,oh i am so upset!,season_2,21,19,135
doofenshmirtz,uh oh. not good. wait is that the baljeatles?,season_2,21,20,155
candace,just call me can't-dance flynn.,season_2,21,21,157
jeremy,okay that's your new nickname.,season_2,21,21,158
candace,wait what? no! i'm not supposed to nickname myself! you're supposed to come up with it! you don't even care enough to try!,season_2,21,21,159
jeremy,hey wait a second! i call you candace but not because i don't care enough to come up with a cute nickname for you! i call you candace 'cause... i happen to really like that name.,season_2,21,21,160
candace,you do?,season_2,21,21,161
jeremy,of course i do! 'cause it's your name. ,season_2,21,21,162
stacy,,season_2,21,21,163
phineas,well baljeet if it means anything i'd give you an a+ in rock.,season_2,21,22,165
baljeet,no. that means almost nothing.,season_2,21,22,166
vanessa,dad i need a car. i can't keep riding on the back of your scooter every time i go someplace. it's totally embarrassing.,season_2,22,1,1
biker,hey sweetheart. how'd you like to take a ride on a real bike?,season_2,22,1,2
doofenshmirtz,she's sixteen!,season_2,22,1,3
baby alien,oh yeah!,season_2,22,2,5
doofenshmirtz,you know ever since i installed the away-inator on my helmet driving is fun again!,season_2,22,3,7
phineas,hey ferb check this out. the super-duper megastore is the largest supplier of everything in the tri-state area. heh. i know what we're gonna do today!,season_2,22,4,9
candace,well i'm gonna buy jeremy a gift. it's the anniversary of the very first time jeremy and i went to slushy burger. he spilled a cheese dog on me and mustard got all over the place. he was so sweet.,season_2,22,4,10
stacy,hmm. tough one. i don't think they make a card for that.,season_2,22,4,11
phineas,so mom what are you gonna get at the store?,season_2,22,5,13
linda,i need a 25 pound tub of mayonnaise and 80 pounds of potatoes to make potato salad for the bridge club.,season_2,22,5,14
phineas,wow. that's a lot of potato salad.,season_2,22,5,15
linda,,season_2,22,5,16
phineas,wow think of it ferb. fifty-two million six-hundred thirty-seven thousand square acres of unbridled consumerism all under one roof.,season_2,22,6,18
ferb,,season_2,22,6,19
phineas,you can whistle that again.,season_2,22,6,20
ferb,,season_2,22,6,21
linda,and you get to go to the pet-sitter's perry.,season_2,22,6,22
doofenshmirtz,you're going to have to prove to me that you're responsible that you can do things by yourself.,season_2,22,8,25
vanessa,how could i do that when i'm always on the back of your scooter?,season_2,22,8,26
doofenshmirtz,it's a conundrum isn't it?,season_2,22,8,27
major monogram,it's the new dog bone communicator. pretty clever huh?,season_2,22,9,29
carl,i thought of it agent p.,season_2,22,9,30
major monogram,carl i'm trying to use the bone. anyway agent p we've learned that dr. doofenshmirtz is shopping for parts to build another one of his outlandish devices. put a tail on him.,season_2,22,9,31
man,you look fabulous!,season_2,22,11,34
vanessa,so i've got to find some way to prove to you i'm responsible. there must be an easier way to earn a car.,season_2,22,11,35
doofenshmirtz,you know what they say about taking the easy way.,season_2,22,11,36
vanessa,what do they say?,season_2,22,11,37
doofenshmirtz,well i could tell you but that would be taking the easy way and you know what they say about that. ooh look! pizzazium infinionite!,season_2,22,11,38
vanessa,what's that?,season_2,22,11,39
film speaker,you've heard of hydrogen. you may know boron. but of all the elements on the periodic table none is more fascinating and less abundant than pizzazium infinionite. pizzazium infinionite was first discovered by fortune hunters fifty years ago in the year 1894. no one is really sure what it does but look to the future for hover vehicles powered by pizzazium infinionite in the world of tomorrow!,season_2,22,12,41
doofenshmirtz,see? that's what it is.,season_2,22,12,42
vanessa,where did you get the...,season_2,22,12,43
doofenshmirtz,it's gone! someone took the last one!,season_2,22,12,44
baljeet,what luck! pizzazzium infinionite! that science prize is as good as mine!,season_2,22,13,46
buford,so why am i here again?,season_2,22,13,47
baljeet,because as a person of superior intellect i require an angry wall of meat to protect my science project.,season_2,22,13,48
buford,angry wall of meat huh? yeah i can do that.,season_2,22,13,49
doofenshmirtz,oh great. now i have to scour this whole place and find the pizzazzium and probably have to wrench it out of the hands of some random shopper.,season_2,22,13,50
vanessa,wait dad. i can do this for you. i can go find this--this pizzazzium thing and prove to you that i can be responsible. that i can do things on my own. then you can get me my own car right?,season_2,22,14,52
doofenshmirtz,i don't know. are you sure you can...,season_2,22,14,53
vanessa,of course i can. i'm me. it'll be a piece of cake.,season_2,22,14,54
doofenshmirtz,we'll see.,season_2,22,14,55
vanessa,i'm not hearing a no.,season_2,22,14,56
doofenshmirtz,here you can take this pizzazzium locator. it'll help.,season_2,22,14,57
candace,how am i gonna find that one perfect gift in this humongous store?,season_2,22,16,60
stacy,hey isn't jeremy into camping?,season_2,22,16,61
candace,yeah.,season_2,22,16,62
stacy,so maybe a pocket knife or a fishing lure...or a compound bow. take that apple on kid's head!,season_2,22,16,63
candace,he said he needed a lantern!,season_2,22,16,64
stacy,yeah a lantern's good.,season_2,22,16,65
baljeet,and then i will start my own foundation to... are you not hearing me?,season_2,22,16,66
buford,what? buford hungry. ,season_2,22,16,67
baljeet,i really have to rethink having you as my wall of meat.,season_2,22,16,68
candace,too big.,season_2,22,17,70
stacy,too small.,season_2,22,17,71
candace,oh i don't want to get him just any old lantern.,season_2,22,17,72
stacy,you can't expect the perfect gift to just drop out of the sky.,season_2,22,17,73
candace,but... ,season_2,22,17,74
stacy,woah.,season_2,22,17,75
candace,it's perfect! it's all futuristic-y and cool...and it dropped out of the sky!,season_2,22,17,76
stacy,well i guess i stand corrected.,season_2,22,17,77
candace,when jeremy looks into its bright glow he'll think of me... hey what's this?,season_2,22,18,79
both,ahh!,season_2,22,19,81
doofenshmirtz,hey buddy watch where you're... say you look fabulous. no need to get huffy you ran into me!,season_2,22,20,83
phineas,ahhh. you know ferb i think i know what i want to do every day.,season_2,22,21,85
